需求ID,需求名称,类型,优先级,发布阶段,设计来源,用户故事,用例,验收标准,验证方法
FR-PHY-001,丝线只能拉不能推,功能,P0,R1,设计§1/§2.1,US-01,UC-01,AC-19,物理单元测试
FR-PHY-002,丝线长度可调与收丝速度上限,功能,P0,R1,设计§2.4,US-02,UC-02,AC-19,物理单元测试
FR-PHY-003,主角等效质量随着地状态切换,功能,P0,R1,设计§2.2,US-01,UC-01,AC-20,用例测试
FR-PHY-004,每根丝线独立张力值,功能,P0,R1,设计§2.4,US-07,,AC-07,功能测试
FR-PHY-005,张力阈值触发颤鸣与濒断表现,功能,P1,R2,设计§2.4/视觉§8.2,US-07,,AC-07,音频与手感测试
FR-PHY-006,张力超限断弦与主角硬直,功能,P0,R1,设计§2.4,US-07,UC-02,AC-07,功能测试
FR-PHY-007,断丝后丝位重凝1.5秒,功能,P0,R1,设计§2.3,US-08,,AC-21,功能测试
FR-PHY-008,固定步长与全局确定性,功能,P0,R1,设计§1/§9,US-05,UC-04,AC-05,确定性回归测试
FR-PHY-009,物理世界严格XY平面,功能,P0,R1,设计§9.5/分层,US-05,,AC-22,渲染与物理验证
FR-PHY-010,Verlet绳索8至12段,功能,P0,R1,设计§9,US-08,,AC-19,物理单元测试
FR-PHY-011,放丝操作与断开区分,功能,P0,R1,设计§2.3,US-08,,AC-19,功能测试
FR-PHY-012,断丝附带抖腕冲量,功能,P1,R2,设计§2.3,US-06,,AC-19,手感测试
FR-PHY-013,丝线附着约束与墨丝心法,功能,P0,R1,设计§2.2/§5,US-03,UC-01,AC-03,功能测试
FR-PHY-014,刚体物理量记录与暴露,功能,P0,R1,设计§2.5,US-02,,AC-02,自动化测试
FR-ACT-001,触屏左半屏虚拟摇杆,功能,P0,R1,设计§3.1,US-08,,AC-08,真机测试
FR-ACT-002,触屏右半屏拖拽连接,功能,P0,R1,设计§3.1,US-08,UC-01,AC-08,真机测试
FR-ACT-003,触屏按住收丝与下滑放丝,功能,P0,R1,设计§3.1,US-08,UC-02,AC-08,真机测试
FR-ACT-004,点击丝线即断开,功能,P0,R1,设计§3.1,US-08,,AC-08,真机测试
FR-ACT-005,键鼠操作映射,功能,P0,R1,设计§3.2,US-08,,AC-08,功能测试
FR-ACT-006,输入延迟不超过2帧,功能,P0,R1,视觉§9,US-08,,AC-23,高速摄影与埋点
FR-ACT-007,凝神子弹时间,功能,P1,R3,设计§4.3,US-09,UC-03,AC-09,用例测试
FR-ACT-008,改键与左手模式,功能,P2,R3,设计§3,US-14,,AC-14,可访问性测试
FR-ACT-009,丝线点击判定半径,功能,P0,R1,设计§3.1,US-08,,AC-08,真机测试
FR-CBT-001,五类敌人与物理弱点分类,功能,P0,R1,设计§4.1,US-03,,AC-03,用例测试
FR-CBT-002,冲击伤害公式,功能,P0,R1,设计§2.5/§4.1,US-02,UC-01,AC-02,数值自动化测试
FR-CBT-003,切割伤害公式,功能,P0,R1,设计§2.5/§4.1,US-02,UC-02,AC-02,数值自动化测试
FR-CBT-004,撕裂处决判定,功能,P0,R3,设计§2.5/§4.1,US-04,,AC-04,用例测试
FR-CBT-005,敌人攻击前形态预告,功能,P0,R2,设计§4.1,US-03,,AC-03,用例测试
FR-CBT-006,连锁撞击伤害逐层增益,功能,P1,R3,设计§6.2,US-04,,AC-24,数值测试
FR-CBT-007,受伤以边缘墨蚀表示,功能,P0,R2,设计§8.4,US-16,,AC-25,功能测试
FR-CBT-008,不显示伤害数字,功能,P0,R1,设计§8.4,US-16,,AC-25,UI验收
